"STATUS_0","Incompleto o invalido"
"You will be redirected to the payment page after the order confirmation.","Si verrà trasferiti sulla pagina di pagamento dopo la conferma dell'ordine."
"Payment failed. Please select another payment method.","Pagamento fallito. Si prega di selezionare un altro metodo di pagamento."
"Payment failed. Please review your input or select another payment method.","Pagamento fallito. Si prega di di verificare i dati inseritio di selezionare un altro metodo di pagamento."
"Incorrect credit card expiration date","Data di scadenza della carta di credito incorretta"
"Credit Card Type","Tipo di carta di credito"
"Name on Card","Intestatario"
"Credit Card Number","Numero di carta di credito"
"Card Verification Number","CVC"
"Expiration Date","Data di scadenza"
"Account holder","Intestatario"
"Account number","Numero di conto"
"Bank code","codice bankario"
"You will be redirected to PostFinance website when you place an order.","Verrà rindirizzato alla pagina web PostFinance quando l'ordine sarà piazzato."
"Please wait a moment. This page will transfer your data to PostFinance payment gateway in a few seconds.","Si prega di attendere. Questa pagina transferirà i Vostri dati al gateway di pagamento PostFinance in pochi secondi."
"PSPID is a case sensitive field","IL PSPID é sensibile alle maiuscole"
"SHA-IN Pass phrase","Firma SHA-1-IN"
"Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.","Riferirsi al PostFinance backend sezione <em>Informazione tecniche</em> tab <em>Controllo dei dati e d'origine </em>."
"SHA-OUT Pass phrase","Firma SHA-1-OUT"
"Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>.","_________"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderstandard_utf8.asp,""_________"""
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp","In produzione, si sostituisca ""test"" con ""prod"" ad esempio: https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/maintenancedirect.asp","In produzione, si sostituisca ""test"" con ""prod"" ad esempio: https://secure.domain.tld/ncol/prod/maintenancedirect.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderdirect.asp","In produzione, si sostituisca ""test"" con ""prod"" ad esempio: https://secure.domain.tld/ncol/prod/orderdirect.asp"
"API User","API User"
"API Password","Password del API"
"Payment Action","Azione di pagametno"
"If you choose ""PostFinance"", you will need to fill in all the following fields.","Se si seleziona ""PostFinance"", si drovà compilare i seguenti campi."
"Payment Template","Modello di pagamento"
"Title of the PostFinance Template","Titolo del modello PostFinance "
"Background Color of PostFinance Template","Colore di sfondo del modello PostFinance"
"Text Color of the PostFinance Template","Colore del testo del modello PostFinance"
"Table Background Color of the PostFinance Template","Colore di sfondo della tabella del modello PostFinance"
"Table Text Color of the PostFinance Template","Colore del testo della tabella del modello PostFinance"
"Button Background Color of the PostFinance Template","colore di sfondo del pulsante del modello PostFinance"
"Button Text Color of the PostFinance Template","Colore delle testo del bottone del modello PostFinance"
"Font Family of the PostFinance Template","Tipo di carattere del modello PostFinance"
"Logo of the PostFinance Template","Logo del modello PostFinance"
"Layout of Payment Methods","Layout della pagina di pagamento"
"e.g: white","bianco"
"e.g: black","nero"
"e.g: Verdana","Verdana"
"Debug","Debug"
"PostFinance Account","Conto PostFinance"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.","URL/nome del file del logo. L' URL deve essere assoluto e salvato su un server sicuro"
"Countries","Nazioni"
"Card Types","Tipi di carte"
"Enable 3D secure","Attivare 3D secure"
